file_name,AR,date,control_or_sample,replicate,micr_replicate,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_1.czi,4,112119,sample,A,1,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_2.czi,4,112119,sample,A,2,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_3.czi,4,112119,sample,A,3,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_4.czi,4,112119,sample,A,4,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_5.czi,4,112119,sample,A,5,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_6.czi,4,112119,sample,A,6,,,,,,,,,,,,,,,,,
19_1121_AR4_conA_Syto_sypro_7.czi,4,112119,sample,A,7,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_1.czi,5,112119,sample,A,1,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_2.czi,5,112119,sample,A,2,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_3.czi,5,112119,sample,A,3,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_4.czi,5,112119,sample,A,4,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_5.czi,5,112119,sample,A,5,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_6.czi,5,112119,sample,A,6,,,,,,,,,,,,,,,,,
19_1121_AR5_conA_Syto_sypro_7.czi,5,112119,sample,A,7,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_1.czi,1,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_2.czi,1,121919,sample,A,2,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_3.czi,1,121919,sample,A,3,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_4.czi,1,121919,sample,A,4,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_5.czi,1,121919,sample,A,5,,,,,,,,,,,,,,,,,
19_1219_AR1_cona_syto_sypro_6.czi,1,121919,sample,A,6,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_1.czi,2,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_2.czi,2,121919,sample,A,2,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_3.czi,2,121919,sample,A,3,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_4.czi,2,121919,sample,A,4,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_5.czi,2,121919,sample,A,5,,,,,,,,,,,,,,,,,
19_1219_AR2_cona_syto_sypro_6.czi,2,121919,sample,A,6,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_1.czi,3,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_2.czi,3,121919,sample,A,2,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_3.czi,3,121919,sample,A,3,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_4.czi,3,121919,sample,A,4,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_5.czi,3,121919,sample,A,5,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_6.czi,3,121919,sample,A,6,,,,,,,,,,,,,,,,,
19_1219_AR3_cona_syto_sypro_7.czi,3,121919,sample,A,7,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_1.czi,4,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_2.czi,4,121919,sample,A,2,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_3.czi,4,121919,sample,A,3,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_4.czi,4,121919,sample,A,4,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_5.czi,4,121919,sample,A,5,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_6.czi,4,121919,sample,A,6,,,,,,,,,,,,,,,,,
19_1219_AR4_cona_syto_sypro_7.czi,4,121919,sample,A,7,,,,,,,,,,,,,,,,,
19_1219_AR5_cona_syto_sypro_1.czi,5,121919,sample,A,1,,,,,,,,,,,,,,,,,
19_1219_AR5_cona_syto_sypro_2.czi,5,121919,sample,A,2,,,,,,,,,,,,,,,,,
19_1219_AR5_cona_syto_sypro_3.czi,5,121919,sample,A,3,,,,,,,,,,,,,,,,,
19_1219_AR5_cona_syto_sypro_4.czi,5,121919,sample,A,4,,,,,,,,,,,,,,,,,
19_1219_AR5_cona_syto_sypro_5.czi,5,121919,sample,A,5,,,,,,,,,,,,,,,,,
19_1219_AR5_cona_syto_sypro_6.czi,5,121919,sample,A,6,,,,,,,,,,,,,,,,,
19_1219_AR5_cona_syto_sypro_7.czi,5,121919,sample,A,7,,,,,,,,,,,,,,,,,
20_0104_AR1_1.czi,1,10420,sample,A,1,,,,,,,,,,,,,,,,,
20_0104_AR1_2.czi,1,10420,sample,A,2,,,,,,,,,,,,,,,,,
20_0104_AR1_3.czi,1,10420,sample,A,3,,,,,,,,,,,,,,,,,
20_0104_AR1_4.czi,1,10420,sample,A,4,,,,,,,,,,,,,,,,,
20_0104_AR1_5.czi,1,10420,sample,A,5,,,,,,,,,,,,,,,,,
20_0104_AR1_6.czi,1,10420,sample,A,6,,,,,,,,,,,,,,,,,
20_0104_AR2_1.czi,2,10420,sample,A,1,,,,,,,,,,,,,,,,,
20_0104_AR2_2.czi,2,10420,sample,A,2,,,,,,,,,,,,,,,,,
20_0104_AR2_3.czi,2,10420,sample,A,3,,,,,,,,,,,,,,,,,
20_0104_AR2_4.czi,2,10420,sample,A,4,,,,,,,,,,,,,,,,,
20_0104_AR2_5.czi,2,10420,sample,A,5,,,,,,,,,,,,,,,,,
20_0104_AR3_1.czi,3,10420,sample,A,1,,,,,,,,,,,,,,,,,
20_0104_AR3_2.czi,3,10420,sample,A,2,,,,,,,,,,,,,,,,,
20_0104_AR3_3.czi,3,10420,sample,A,3,,,,,,,,,,,,,,,,,
20_0104_AR3_4.czi,3,10420,sample,A,4,,,,,,,,,,,,,,,,,
20_0104_AR3_5.czi,3,10420,sample,A,5,,,,,,,,,,,,,,,,,
20_0104_AR4_1.czi,4,10420,sample,A,1,,,,,,,,,,,,,,,,,
20_0104_AR4_2.czi,4,10420,sample,A,2,,,,,,,,,,,,,,,,,
20_0104_AR4_3.czi,4,10420,sample,A,3,,,,,,,,,,,,,,,,,
20_0104_AR4_4.czi,4,10420,sample,A,4,,,,,,,,,,,,,,,,,
20_0104_AR4_5.czi,4,10420,sample,A,5,,,,,,,,,,,,,,,,,
20_0104_AR5_1.czi,5,10420,sample,A,1,,,,,,,,,,,,,,,,,
20_0104_AR5_2.czi,5,10420,sample,A,2,,,,,,,,,,,,,,,,,
20_0104_AR5_3.czi,5,10420,sample,A,3,,,,,,,,,,,,,,,,,
20_0104_AR5_4.czi,5,10420,sample,A,4,,,,,,,,,,,,,,,,,
20_0104_AR5_5.czi,5,10420,sample,A,5,,,,,,,,,,,,,,,,,
20_0221_AR1_1.czi,1,22120,sample,A,1,,,,,,,,,,,,,,,,,
20_0221_AR1_2.czi,1,22120,sample,A,2,,,,,,,,,,,,,,,,,
20_0221_AR1_3.czi,1,22120,sample,A,3,,,,,,,,,,,,,,,,,
20_0221_AR1_4.czi,1,22120,sample,A,4,,,,,,,,,,,,,,,,,
20_0221_AR1_5.czi,1,22120,sample,A,5,,,,,,,,,,,,,,,,,
20_0221_AR1_6.czi,1,22120,sample,A,6,,,,,,,,,,,,,,,,,
20_0221_AR1_7.czi,1,22120,sample,A,7,,,,,,,,,,,,,,,,,
20_0221_AR1_8.czi,1,22120,sample,A,8,,,,,,,,,,,,,,,,,
20_0221_AR2_1.czi,2,22120,sample,A,1,,,,,,,,,,,,,,,,,
20_0221_AR2_2.czi,2,22120,sample,A,2,,,,,,,,,,,,,,,,,
20_0221_AR2_3.czi,2,22120,sample,A,3,,,,,,,,,,,,,,,,,
20_0221_AR2_4.czi,2,22120,sample,A,4,,,,,,,,,,,,,,,,,
20_0221_AR2_5.czi,2,22120,sample,A,5,,,,,,,,,,,,,,,,,
20_0221_AR2_6.czi,2,22120,sample,A,6,,,,,,,,,,,,,,,,,
20_0221_AR2_snap1.czi,2,22120,discard,A,1,,,,,,,,,,,,,,,,,
20_0221_AR2_snap2.czi,2,22120,discard,A,2,,,,,,,,,,,,,,,,,
20_0221_AR2_snap3.czi,2,22120,discard,A,3,,,,,,,,,,,,,,,,,
20_0221_AR3_1.czi,3,22120,sample,A,1,,,,,,,,,,,,,,,,,
20_0221_AR3_2.czi,3,22120,sample,A,2,,,,,,,,,,,,,,,,,
20_0221_AR3_3.czi,3,22120,sample,A,3,,,,,,,,,,,,,,,,,
20_0221_AR3_4.czi,3,22120,sample,A,4,,,,,,,,,,,,,,,,,
20_0221_AR3_5.czi,3,22120,sample,A,5,,,,,,,,,,,,,,,,,
20_0221_AR3_6.czi,3,22120,sample,A,6,,,,,,,,,,,,,,,,,
20_0221_AR4_1.czi,4,22120,sample,A,1,,,,,,,,,,,,,,,,,
20_0221_AR4_10.czi,4,22120,sample,A,10,,,,,,,,,,,,,,,,,
20_0221_AR4_2.czi,4,22120,sample,A,2,,,,,,,,,,,,,,,,,
20_0221_AR4_3.czi,4,22120,sample,A,3,,,,,,,,,,,,,,,,,
20_0221_AR4_4.czi,4,22120,sample,A,4,,,,,,,,,,,,,,,,,
20_0221_AR4_5.czi,4,22120,sample,A,5,,,,,,,,,,,,,,,,,
20_0221_AR4_6.czi,4,22120,sample,A,6,,,,,,,,,,,,,,,,,
20_0221_AR4_7.czi,4,22120,sample,A,7,,,,,,,,,,,,,,,,,
20_0221_AR4_8.czi,4,22120,sample,A,8,,,,,,,,,,,,,,,,,
20_0221_AR4_9.czi,4,22120,sample,A,9,,,,,,,,,,,,,,,,,
20_0221_AR4_snap1.czi,4,22120,discard,A,1,,,,,,,,,,,,,,,,,
20_0221_AR4_snap2.czi,4,22120,discard,A,2,,,,,,,,,,,,,,,,,
20_0221_AR5_1.czi,5,22120,sample,A,1,,,,,,,,,,,,,,,,,
20_0221_AR5_2.czi,5,22120,sample,A,2,,,,,,,,,,,,,,,,,
20_0221_AR5_3.czi,5,22120,sample,A,3,,,,,,,,,,,,,,,,,
20_0221_AR5_4.czi,5,22120,sample,A,4,,,,,,,,,,,,,,,,,
20_0221_AR5_5.czi,5,22120,sample,A,5,,,,,,,,,,,,,,,,,
20_0221_AR5_6.czi,5,22120,sample,A,6,,,,,,,,,,,,,,,,,
20_0221_AR5_7.czi,5,22120,sample,A,7,,,,,,,,,,,,,,,,,
20_0422_AR1_1.czi,1,42220,sample,A,1,,,,,,,,,,,,,,,,,
20_0422_AR1_2.czi,1,42220,sample,A,2,,,,,,,,,,,,,,,,,
20_0422_AR1_3.czi,1,42220,sample,A,3,,,,,,,,,,,,,,,,,
20_0422_AR1_4.czi,1,42220,sample,A,4,,,,,,,,,,,,,,,,,
20_0422_AR1_5.czi,1,42220,sample,A,5,,,,,,,,,,,,,,,,,
20_0422_AR1_6.czi,1,42220,sample,A,6,,,,,,,,,,,,,,,,,
20_0422_AR1_7.czi,1,42220,sample,A,7,,,,,,,,,,,,,,,,,
20_0422_AR2_1.czi,2,42220,sample,A,1,,,,,,,,,,,,,,,,,
20_0422_AR2_2.czi,2,42220,sample,A,2,,,,,,,,,,,,,,,,,
20_0422_AR2_3.czi,2,42220,sample,A,3,,,,,,,,,,,,,,,,,
20_0422_AR2_4.czi,2,42220,sample,A,4,,,,,,,,,,,,,,,,,
20_0422_AR2_5.czi,2,42220,sample,A,5,,,,,,,,,,,,,,,,,
20_0422_AR2_6.czi,2,42220,sample,A,6,,,,,,,,,,,,,,,,,
20_0422_AR2_7.czi,2,42220,sample,A,7,,,,,,,,,,,,,,,,,
20_0422_AR3_1.czi,3,42220,sample,A,1,,,,,,,,,,,,,,,,,
20_0422_AR3_2.czi,3,42220,sample,A,2,,,,,,,,,,,,,,,,,
20_0422_AR3_3.czi,3,42220,sample,A,3,,,,,,,,,,,,,,,,,
20_0422_AR3_4.czi,3,42220,sample,A,4,,,,,,,,,,,,,,,,,
20_0422_AR3_5.czi,3,42220,sample,A,5,,,,,,,,,,,,,,,,,
20_0422_AR3_6.czi,3,42220,sample,A,6,,,,,,,,,,,,,,,,,
20_0422_AR3_7.czi,3,42220,sample,A,7,,,,,,,,,,,,,,,,,
20_0422_AR4_1.czi,4,42220,sample,A,1,,,,,,,,,,,,,,,,,
20_0422_AR4_2.czi,4,42220,sample,A,2,,,,,,,,,,,,,,,,,
20_0422_AR4_3.czi,4,42220,sample,A,3,,,,,,,,,,,,,,,,,
20_0422_AR4_4.czi,4,42220,sample,A,4,,,,,,,,,,,,,,,,,
20_0422_AR4_5.czi,4,42220,sample,A,5,,,,,,,,,,,,,,,,,
20_0422_AR4_6.czi,4,42220,sample,A,6,,,,,,,,,,,,,,,,,
20_0422_AR4_7.czi,4,42220,sample,A,7,,,,,,,,,,,,,,,,,
20_0422_AR5_1.czi,5,42220,sample,A,1,,,,,,,,,,,,,,,,,
20_0422_AR5_2.czi,5,42220,sample,A,2,,,,,,,,,,,,,,,,,
20_0422_AR5_3.czi,5,42220,sample,A,3,,,,,,,,,,,,,,,,,
20_0422_AR5_4.czi,5,42220,sample,A,4,,,,,,,,,,,,,,,,,
20_0422_AR5_5.czi,5,42220,sample,A,5,,,,,,,,,,,,,,,,,
20_0422_AR5_6.czi,5,42220,sample,A,6,,,,,,,,,,,,,,,,,
20_0422_AR5_7.czi,5,42220,sample,A,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
19_1121_AR1_conA_Syto_sypro_1.czi,1,112119,sample,A,1,,,,,,,,,,,,,,,,,
19_1121_AR1_conA_Syto_sypro_2.czi,1,112119,sample,A,2,,,,,,,,,,,,,,,,,
19_1121_AR1_conA_Syto_sypro_3.czi,1,112119,sample,A,3,,,,,,,,,,,,,,,,,
19_1121_AR1_conA_Syto_sypro_4.czi,1,112119,sample,A,4,,,,,,,,,,,,,,,,,
19_1121_AR1_conA_Syto_sypro_5.czi,1,112119,sample,A,5,,,,,,,,,,,,,,,,,
19_1121_AR2_conA_Syto_sypro_1.czi,2,112119,sample,A,1,,,,,,,,,,,,,,,,,
19_1121_AR2_conA_Syto_sypro_2.czi,2,112119,sample,A,2,,,,,,,,,,,,,,,,,
19_1121_AR2_conA_Syto_sypro_3.czi,2,112119,sample,A,3,,,,,,,,,,,,,,,,,
19_1121_AR2_conA_Syto_sypro_4.czi,2,112119,sample,A,4,,,,,,,,,,,,,,,,,
19_1121_AR2_conA_Syto_sypro_5.czi,2,112119,sample,A,5,,,,,,,,,,,,,,,,,
19_1121_AR2_conA_Syto_sypro_6.czi,2,112119,sample,A,6,,,,,,,,,,,,,,,,,
19_1121_AR3_conA_Syto_sypro_1.czi,3,112119,sample,A,1,,,,,,,,,,,,,,,,,
19_1121_AR3_conA_Syto_sypro_2.czi,3,112119,sample,A,2,,,,,,,,,,,,,,,,,
19_1121_AR3_conA_Syto_sypro_3.czi,3,112119,sample,A,3,,,,,,,,,,,,,,,,,
19_1121_AR3_conA_Syto_sypro_4.czi,3,112119,sample,A,4,,,,,,,,,,,,,,,,,
19_1121_AR3_conA_Syto_sypro_5.czi,3,112119,sample,A,5,,,,,,,,,,,,,,,,,
19_1121_AR3_conA_Syto_sypro_6.czi,3,112119,sample,A,6,,,,,,,,,,,,,,,,,